# Baseline hitrates per league: each tip replayed as-of over the
# league's most recent 300 fixtures on the current build, push
# counted as a hit. Written by scripts/baselines.py — derived,
# never typed. Read by the app's hero baseline bar, which averages
# the per-league rates with equal weight.
# Trailing columns are the summed CLAIM behind those graded lanes,
# so the app can print hitrate against what the engine promised.
# league	t1_hits	t1_n	t2_hits	t2_n	t3_hits	t3_n	t1_says	t2_says	t3_says
ALG-L1	253	290	154	235	11	13	250.7161	162.0893	9.8803
ARG-CLP	250	290	182	252	77	97	245.1331	177.1386	69.5599
ARG-PD	231	263	135	189	41	57	230.3889	133.4243	41.5668
AUT-BL	248	300	148	204	153	202	239.1571	147.0372	148.8155
BEL-PL	253	297	171	228	132	178	242.4651	164.3651	131.9303
BRA-SA	239	300	151	232	111	134	239.2299	156.5341	100.5720
BRA-SB	252	295	135	213	48	70	255.0769	144.9159	50.9752
CHI-PD	247	295	164	225	75	90	252.1433	164.4113	64.4542
CHN-SL	235	290	175	270	135	157	239.6203	181.1386	120.3470
COL-PA	252	300	33	44	134	155	250.1447	33.4234	114.0484
COPA-L	145	199	95	141	56	63	147.6550	94.1312	48.1000
CRO-1L	256	295	95	115	85	101	249.3462	86.1316	74.1809
CZE-FL	258	300	200	279	126	147	254.8292	200.4576	110.0441
DEN-SL	253	295	205	287	118	138	245.9905	194.6290	107.3136
EGY-PL	236	285	195	263	125	158	236.7044	188.3127	115.8625
ENG-CH	246	300	136	193	112	147	237.4359	132.1723	107.6868
ENG-L1	248	300	134	186	75	94	237.4196	126.7857	67.9846
ENG-L2	266	300	170	234	109	135	260.0907	177.7643	97.1279
ENG-NL	240	296	180	267	147	196	242.1693	182.6105	149.8728
ENG-PL	253	300	186	273	88	112	249.1559	190.6595	82.6612
ESP-L2	232	279	71	96	144	192	229.4198	72.8992	142.2434
ESP-LL	248	300	156	214	123	152	238.6821	146.3084	114.2683
FIN-VL	247	300	186	272	91	113	250.3575	189.9726	86.7151
FRA-L1	234	293	172	259	91	118	237.7726	181.7756	88.7180
FRA-L2	237	290	164	242	109	154	240.0934	173.7727	111.7475
GER-B2	245	295	168	258	100	135	244.7682	177.6391	102.1511
GER-BL	258	300	203	292	143	178	248.1232	197.3253	138.9764
GRE-SL	243	300	157	226	119	154	236.5603	157.9245	111.8865
IRL-PD	247	300	81	109	130	168	244.6282	82.6977	122.9313
ITA-SA	254	300	113	144	148	188	245.9554	107.5254	136.8197
ITA-SB	240	300	147	208	187	253	229.7005	139.2501	184.5076
JPN-J1	256	295	155	218	81	108	260.8860	165.7818	77.7965
MAR-BP	251	290	61	72	122	146	241.5220	53.5119	105.2553
MEX-LMX	244	300	86	123	104	137	246.1125	87.4267	102.8440
MLS	209	266	142	228	126	164	214.2667	151.5971	127.4346
NED-D2	249	300	182	273	60	74	247.8313	184.8727	56.8749
NED-ED	258	300	194	281	120	157	249.7862	190.5790	121.6940
NGA-PL	269	300	124	189	0	0	263.9571	131.1888	0.0000
NOR-EL	213	254	180	244	76	89	211.6064	171.0959	66.8898
PER-L1	231	290	95	142	66	78	228.0433	93.7018	58.4851
POL-EK	241	282	152	230	142	204	237.0692	162.5630	151.4581
POR-PL	234	291	175	244	139	160	231.1927	167.0702	119.9829
ROU-L1	236	284	161	249	168	217	240.0544	177.8643	158.9143
RUS-PL	243	283	177	247	149	178	238.4915	174.6496	132.0045
SAU-PL	239	291	190	282	74	78	242.6057	196.4271	60.2197
SCO-CH	264	300	190	255	118	143	263.3067	192.1065	103.3894
SCO-L1	256	300	180	261	53	74	249.1819	184.9160	54.3661
SCO-L2	238	295	126	178	121	172	232.2144	129.8725	129.8463
SCO-PL	251	300	189	276	91	105	247.0527	195.0938	78.2015
SUI-SL	236	294	160	256	96	123	240.5425	176.3913	92.4106
SWE-AL	208	255	159	221	76	94	208.0498	154.2520	70.1249
TUR-SL	236	287	173	258	114	140	240.0912	179.5188	105.4869
UCL	247	300	125	172	0	0	240.9276	122.6704	0.0000
UECL	256	300	152	226	0	0	253.9666	156.5492	0.0000
UECL-Q	252	294	144	194	0	0	252.6955	138.5602	0.0000
UEL	258	300	145	207	0	0	250.5657	140.9810	0.0000
UKR-PL	236	285	185	260	107	132	232.2355	178.7908	97.7163
