# How each rule that files a card under Declined is doing: the cards it
# declined against the cards it kept. Written by scripts/declinecheck.py
# on the two-day bank refresh; report only, nothing reads it back.
# BOARD rows are the board's own settled cards (last 21 days, and all);
# BANK rows are the bank in two halves by date and pooled.
# verdict: separates = declined landed 2+ under kept; BACKWARDS = 2+ over;
# thin = under 15 declined cards, not judged.
# written	2026-09-23
# source	window	rule	n	hit	kept_n	kept	verdict
board	21d	tier red	118	78.0	689	81.1	separates
board	21d	live unsafe · athena	32	81.2	689	81.1	no separation
board	21d	live unsafe · watch	0		689	81.1	thin
board	21d	live unsafe · priced	58	75.9	689	81.1	separates
board	21d	strike combo	22	86.4	689	81.1	BACKWARDS
board	all	tier red	118	78.0	689	81.1	separates
board	all	live unsafe · athena	32	81.2	689	81.1	no separation
board	all	live unsafe · watch	0		689	81.1	thin
board	all	live unsafe · priced	58	75.9	689	81.1	separates
board	all	strike combo	22	86.4	689	81.1	BACKWARDS
bank	A	tier red	972	75.1	14249	85.0	separates
bank	A	live unsafe · athena	1253	76.8	14249	85.0	separates
bank	A	live unsafe · watch	0		14249	85.0	thin
bank	A	live unsafe · priced	492	71.5	14249	85.0	separates
bank	A	strike combo	70	77.1	14249	85.0	separates
bank	B	tier red	938	74.2	14529	84.7	separates
bank	B	live unsafe · athena	1291	73.4	14529	84.7	separates
bank	B	live unsafe · watch	0		14529	84.7	thin
bank	B	live unsafe · priced	321	71.0	14529	84.7	separates
bank	B	strike combo	68	79.4	14529	84.7	separates
bank	all	tier red	1910	74.7	28778	84.9	separates
bank	all	live unsafe · athena	2544	75.1	28778	84.9	separates
bank	all	live unsafe · watch	0		28778	84.9	thin
bank	all	live unsafe · priced	813	71.3	28778	84.9	separates
bank	all	strike combo	138	78.3	28778	84.9	separates
