# Final-pick record per league: the card's starred lane replayed
# as-of over the league's most recent fixtures. Written by
# scripts/final_pick.py --write — derived, never typed. Read by
# the app's baseline bar, which averages the leagues equally.
# The trailing column is the summed CLAIM behind those picks, so
# the app can print the record against what was promised.
# league	hits	n	says
ALG-L1	253	290	250.7161
ARG-CLP	250	290	245.1331
ARG-PD	231	263	230.3889
AUT-BL	248	300	239.2535
BEL-PL	253	297	242.5130
BRA-SA	242	300	239.7255
BRA-SB	252	295	255.0769
CHI-PD	247	295	252.1433
CHN-SL	236	290	239.6459
COL-PA	252	300	250.1447
COPA-L	149	199	148.9326
CRO-1L	255	295	249.4039
CZE-FL	258	300	255.0193
DEN-SL	253	295	246.5627
EGY-PL	236	285	236.9612
ENG-CH	246	300	237.5082
ENG-L1	249	300	237.7063
ENG-L2	266	300	260.0907
ENG-NL	241	296	242.4475
ENG-PL	254	300	249.2110
ESP-L2	233	279	229.5202
ESP-LL	250	300	239.4597
FIN-VL	249	300	250.4709
FRA-L1	235	293	238.1401
FRA-L2	237	290	240.0934
GER-B2	246	295	244.7915
GER-BL	258	300	248.2112
GRE-SL	246	300	237.0701
IRL-PD	247	300	244.6282
ITA-SA	254	300	245.9875
ITA-SB	242	300	230.1773
JPN-J1	256	295	260.8860
MAR-BP	252	290	241.7459
MEX-LMX	245	300	246.4606
MLS	208	266	214.7430
NED-D2	249	300	247.8575
NED-ED	258	300	249.7862
NGA-PL	269	300	263.9571
NOR-EL	214	254	211.9440
PER-L1	232	290	228.2867
POL-EK	242	282	237.1907
POR-PL	236	291	232.4504
ROU-L1	238	284	240.1226
RUS-PL	243	283	238.4915
SAU-PL	241	291	243.0190
SCO-CH	264	300	263.3067
SCO-L1	256	300	249.2043
SCO-L2	238	295	232.3937
SCO-PL	250	300	247.1965
SUI-SL	237	294	240.5730
SWE-AL	208	255	208.3239
TUR-SL	237	287	240.1887
UCL	247	300	240.9276
UECL	256	300	253.9666
UECL-Q	252	294	252.6955
UEL	258	300	250.5657
UKR-PL	237	285	232.7160
