# The live-safety bands, MEASURED on the bank, red cards out; written by
# scripts/livebands.py every two days (the bank-refresh workflow) and read
# by scripts/webapp.py and scripts/bankrates.py for the live tag. The tag
# reads the league's own row where it has 50 cards or more (source
# 'league'), else the whole bank's row (league '*', source 'global'), else
# the seed. A league row under the floor is written as 'thin' and not read.
# Thresholds: safe >= 79, cautious >= 77, else unsafe.
# written	2026-09-12
# The 'flip' rows: priced plays with that tag that also print that lane,
# paired on the board's last 21 days — n cards where tip 1 graded and
# that lane won or lost (a push on the lane is no bet), hit = THAT lane,
# said = tip 1 on the same cards; flipped when the lane beats tip 1 by 5.
# league	lane	band	n	hit	said	label	source
*	athena	+1 up	11562	84.8	83.9	safe	global
*	athena	−1..+1	6267	84.7	84.1	safe	global
*	athena	−4..−1	3688	86.4	84.9	safe	global
*	athena	−4 down	3331	89.4	84.0	safe	global
*	watch	+1 up	1078	79.0	81.2	safe	global
*	watch	−1..+1	389	81.5	81.3	safe	global
*	watch	−4..−1	171	88.3	84.9	safe	global
*	watch	−4 down	147	74.8	84.2	unsafe	global
*	priced	+1 up	854	77.4	80.1	cautious	global
*	priced	−1..+1	254	74.4	80.4	unsafe	global
*	priced	−4..−1	68	67.6	84.0	unsafe	global
*	priced	−4 down	44	72.7	84.2	unsafe	global
ALG-L1	athena	+1 up	165	81.2	85.0	safe	league
ALG-L1	athena	−1..+1	35	94.3	81.9	safe	thin
ALG-L1	athena	−4..−1	121	92.6	89.2	safe	league
ALG-L1	athena	−4 down	22	95.5	88.7	safe	thin
ALG-L1	athena	+1 up	165	81.2	85.0	safe	league
ALG-L1	athena	−1..+1	35	94.3	81.9	safe	thin
ALG-L1	athena	−4..−1	121	92.6	89.2	safe	league
ALG-L1	athena	−4 down	22	95.5	88.7	safe	thin
ALG-L1	athena	+1 up	165	81.2	85.0	safe	league
ALG-L1	athena	−1..+1	35	94.3	81.9	safe	thin
ALG-L1	athena	−4..−1	121	92.6	89.2	safe	league
ALG-L1	athena	−4 down	22	95.5	88.7	safe	thin
ALG-L1	athena	+1 up	165	81.2	85.0	safe	league
ALG-L1	athena	−1..+1	35	94.3	81.9	safe	thin
ALG-L1	athena	−4..−1	121	92.6	89.2	safe	league
ALG-L1	athena	−4 down	22	95.5	88.7	safe	thin
ARG-CLP	athena	+1 up	213	85.0	82.5	safe	league
ARG-CLP	athena	−1..+1	80	90.0	85.1	safe	league
ARG-CLP	athena	−4..−1	79	91.1	88.8	safe	league
ARG-CLP	athena	+1 up	213	85.0	82.5	safe	league
ARG-CLP	athena	−1..+1	80	90.0	85.1	safe	league
